file,left_eye,right_eye,mouth
00000.png,"(282, 193)(360, 271)","(138, 174)(238, 274)","(186, 343)(314, 407)",
00338.png,"(266, 169)(353, 256)","(178, 345)(306, 409)",
00339.png,
00340.png,"(279, 188)(362, 271)","(153, 190)(228, 265)","(164, 325)(335, 411)",
00341.png,"(292, 194)(362, 264)","(155, 192)(229, 266)","(195, 349)(328, 415)",
00342.png,"(285, 188)(367, 270)","(147, 189)(229, 271)","(190, 350)(325, 418)",
00343.png,"(294, 189)(367, 262)","(163, 187)(243, 267)","(204, 360)(309, 412)",
00344.png,"(289, 188)(363, 262)","(154, 182)(237, 265)","(109, 358)(244, 425)",
00345.png,"(286, 191)(366, 271)","(161, 200)(226, 265)","(173, 341)(338, 423)",
00346.png,"(296, 211)(346, 261)","(162, 200)(232, 270)","(186, 326)(327, 396)",
00347.png,"(283, 190)(363, 270)","(153, 194)(227, 268)","(189, 324)(320, 389)",
00348.png,"(296, 201)(361, 266)","(160, 204)(216, 260)","(197, 353)(313, 411)",
00349.png,"(280, 184)(364, 268)","(151, 191)(231, 271)","(218, 327)(411, 424)",
00350.png,"(284, 179)(369, 264)","(204, 364)(308, 416)",
00351.png,"(285, 209)(351, 275)","(138, 195)(227, 284)","(198, 347)(330, 413)",
00352.png,"(298, 194)(370, 266)","(155, 191)(228, 264)","(176, 336)(352, 424)",
00353.png,"(289, 191)(363, 265)","(169, 220)(209, 260)","(172, 340)(287, 398)",
00354.png,"(288, 191)(365, 268)","(184, 337)(326, 408)",
00355.png,"(292, 194)(367, 269)","(154, 193)(233, 272)","(187, 337)(328, 407)",
00356.png,"(297, 199)(373, 275)","(154, 196)(226, 268)","(174, 351)(318, 423)",
00357.png,"(282, 188)(367, 273)","(147, 183)(238, 274)","(184, 334)(330, 407)",
00358.png,"(174, 330)(328, 407)",
00359.png,
00360.png,"(292, 197)(358, 263)","(165, 197)(234, 266)","(181, 335)(334, 412)",
00361.png,"(284, 188)(368, 272)","(152, 193)(227, 268)","(179, 340)(333, 417)",
00362.png,"(192, 355)(313, 416)",
00363.png,"(295, 199)(361, 265)","(160, 203)(215, 258)","(181, 337)(323, 408)",
00364.png,"(292, 198)(360, 266)","(142, 183)(235, 276)","(190, 357)(318, 421)",
00365.png,"(295, 203)(359, 267)","(157, 202)(212, 257)","(189, 338)(333, 410)",
00366.png,"(284, 217)(343, 276)","(181, 342)(344, 423)",
00367.png,"(283, 187)(363, 267)","(161, 197)(230, 266)","(191, 352)(317, 415)",
00368.png,"(286, 191)(368, 273)","(174, 338)(355, 429)",
00369.png,
00370.png,"(143, 326)(320, 414)",
00371.png,"(288, 188)(364, 264)","(148, 189)(231, 272)","(186, 329)(321, 396)",
00372.png,"(289, 190)(364, 265)","(153, 191)(229, 267)","(179, 336)(338, 415)",
00373.png,"(290, 195)(364, 269)","(152, 194)(226, 268)","(174, 339)(331, 417)",
00374.png,"(289, 188)(364, 263)","(158, 187)(243, 272)","(190, 357)(322, 423)",
00375.png,"(290, 195)(361, 266)","(155, 191)(228, 264)","(196, 299)(298, 350)",
00376.png,
00377.png,"(183, 341)(304, 401)",
00378.png,"(285, 192)(365, 272)","(150, 192)(229, 271)","(174, 347)(344, 432)",
00379.png,"(190, 342)(329, 412)",
00380.png,"(284, 191)(366, 273)","(153, 195)(224, 266)","(178, 343)(337, 422)",
00381.png,"(278, 182)(373, 277)","(149, 192)(227, 270)","(166, 348)(339, 434)",
00382.png,"(182, 341)(334, 417)",
00383.png,"(285, 187)(366, 268)","(154, 187)(236, 269)","(207, 349)(310, 401)",
00384.png,"(283, 186)(361, 264)","(190, 350)(309, 409)",
00385.png,
00386.png,"(289, 197)(355, 263)","(160, 193)(231, 264)","(220, 295)(311, 340)",
00387.png,"(289, 193)(360, 264)","(155, 191)(236, 272)","(190, 345)(319, 409)",
00388.png,"(293, 208)(352, 267)","(158, 200)(227, 269)","(198, 333)(320, 394)",
00389.png,"(282, 197)(354, 269)","(153, 180)(236, 263)","(204, 325)(332, 389)",
00390.png,"(283, 187)(367, 271)","(162, 196)(234, 268)","(173, 329)(338, 411)",
00391.png,"(282, 188)(355, 261)","(166, 200)(221, 255)","(195, 358)(301, 411)",
00392.png,"(290, 187)(371, 268)","(147, 191)(225, 269)","(173, 340)(335, 421)",
00393.png,"(286, 191)(361, 266)","(150, 188)(231, 269)","(179, 322)(340, 402)",
00394.png,"(135, 188)(238, 291)","(181, 333)(340, 412)",
00395.png,"(290, 198)(352, 260)","(157, 196)(223, 262)","(185, 336)(320, 403)",
00396.png,"(284, 192)(361, 269)","(151, 172)(249, 270)","(200, 350)(336, 418)",
00397.png,"(270, 205)(342, 277)","(156, 186)(257, 287)","(208, 343)(314, 396)",
00398.png,"(303, 205)(351, 253)","(158, 181)(240, 263)","(206, 360)(317, 415)",
00399.png,"(277, 188)(356, 267)","(183, 208)(227, 252)","(206, 361)(298, 407)",
00400.png,"(284, 184)(370, 270)","(151, 182)(231, 262)","(187, 353)(333, 426)",
00401.png,"(285, 203)(348, 266)","(173, 205)(230, 262)","(201, 356)(314, 412)",
00402.png,"(278, 182)(368, 272)","(150, 185)(234, 269)","(204, 342)(318, 399)",
00403.png,"(279, 187)(358, 266)","(180, 195)(244, 259)","(201, 357)(314, 413)",
00404.png,"(180, 332)(326, 405)",
00405.png,"(284, 184)(366, 266)","(153, 186)(236, 269)","(185, 353)(324, 423)",
00406.png,"(289, 189)(366, 266)","(152, 193)(231, 272)","(178, 336)(329, 412)",
00407.png,"(271, 182)(354, 265)",
00408.png,"(293, 193)(355, 255)","(145, 182)(235, 272)","(159, 349)(326, 433)",
00409.png,"(142, 186)(251, 295)","(168, 334)(321, 410)",
00410.png,"(267, 172)(370, 275)","(147, 182)(239, 274)","(175, 354)(328, 430)",
00411.png,"(272, 173)(370, 271)","(185, 363)(335, 438)",
00412.png,"(183, 333)(325, 404)",
00413.png,"(291, 197)(359, 265)","(188, 359)(318, 424)",
00414.png,"(284, 213)(345, 274)","(153, 207)(225, 279)","(211, 343)(332, 403)",
00415.png,"(289, 182)(379, 272)","(154, 190)(232, 268)","(194, 343)(305, 399)",
00416.png,"(281, 183)(370, 272)","(156, 185)(235, 264)","(171, 327)(345, 414)",
00417.png,"(284, 192)(363, 271)","(153, 193)(231, 271)","(170, 334)(337, 417)",
00418.png,"(283, 191)(360, 268)","(152, 188)(234, 270)","(198, 349)(306, 403)",
00419.png,"(298, 198)(358, 258)","(154, 196)(233, 275)","(196, 292)(335, 361)",
00420.png,"(288, 203)(352, 267)","(157, 203)(214, 260)","(182, 341)(332, 416)",
00421.png,"(285, 189)(368, 272)","(157, 192)(237, 272)","(177, 340)(334, 418)",
00422.png,"(289, 204)(352, 267)","(156, 193)(232, 269)","(177, 325)(340, 406)",
00423.png,"(284, 183)(372, 271)","(156, 191)(233, 268)","(194, 347)(343, 421)",
00424.png,"(287, 189)(365, 267)","(151, 187)(232, 268)","(182, 342)(328, 415)",
00425.png,"(270, 171)(369, 270)","(149, 182)(238, 271)","(192, 355)(313, 416)",
00426.png,"(283, 198)(363, 278)","(148, 205)(227, 284)","(172, 348)(343, 433)",
00427.png,"(291, 196)(357, 262)","(152, 193)(227, 268)","(173, 330)(327, 407)",
00428.png,"(285, 189)(360, 264)","(163, 202)(221, 260)","(192, 351)(311, 410)",
00429.png,"(251, 294)(288, 331)","(163, 339)(343, 429)",
00430.png,"(273, 187)(344, 258)","(172, 206)(227, 261)","(203, 305)(289, 348)",
00431.png,"(285, 192)(353, 260)","(164, 197)(232, 265)","(188, 354)(314, 417)",
00432.png,"(282, 211)(343, 272)","(155, 210)(217, 272)","(191, 360)(311, 420)",
00433.png,"(282, 200)(354, 272)","(161, 199)(226, 264)","(195, 354)(325, 419)",
00434.png,
00435.png,"(289, 203)(352, 266)","(190, 368)(331, 439)",
00436.png,"(157, 351)(298, 421)",
00437.png,"(295, 199)(360, 264)","(159, 200)(218, 259)","(200, 356)(313, 413)",
00438.png,"(191, 343)(323, 409)",
00439.png,"(289, 205)(348, 264)","(162, 203)(221, 262)","(185, 343)(331, 416)",
00440.png,"(278, 179)(367, 268)","(161, 194)(233, 266)","(178, 357)(317, 427)",
00441.png,"(273, 189)(347, 263)","(183, 199)(240, 256)","(194, 299)(295, 349)",
00442.png,"(287, 190)(366, 269)","(163, 203)(213, 253)","(206, 361)(310, 413)",
00443.png,"(278, 180)(372, 274)","(151, 184)(237, 270)","(188, 350)(321, 416)",
00444.png,"(278, 187)(363, 272)","(166, 197)(227, 258)","(208, 363)(307, 413)",
00445.png,"(287, 189)(368, 270)","(147, 187)(230, 270)","(175, 343)(338, 424)",
00446.png,"(291, 198)(358, 265)","(157, 193)(234, 270)","(176, 334)(338, 415)",
00447.png,"(287, 196)(357, 266)","(153, 184)(236, 267)","(189, 351)(311, 412)",
00448.png,"(274, 207)(348, 281)","(142, 191)(240, 289)","(165, 336)(336, 422)",
00449.png,"(289, 189)(365, 265)","(150, 182)(237, 269)","(172, 334)(348, 422)",
00450.png,"(216, 274)(260, 318)","(154, 314)(355, 415)",
00451.png,"(283, 195)(359, 271)","(154, 193)(233, 272)","(179, 323)(345, 406)",
00452.png,"(213, 343)(352, 412)",
00453.png,"(279, 185)(365, 271)","(146, 184)(232, 270)","(190, 328)(315, 391)",
00454.png,"(283, 190)(359, 266)","(151, 184)(240, 273)","(196, 346)(327, 412)",
00455.png,"(294, 196)(356, 258)","(162, 193)(235, 266)","(193, 353)(322, 417)",
00456.png,"(287, 193)(362, 268)","(152, 186)(239, 273)","(196, 342)(321, 404)",
00457.png,"(293, 202)(354, 263)","(150, 181)(237, 268)","(185, 348)(348, 429)",
00458.png,"(285, 190)(362, 267)","(154, 192)(229, 267)","(170, 336)(339, 421)",
00459.png,"(291, 203)(352, 264)","(144, 180)(236, 272)","(181, 338)(340, 417)",
00460.png,"(286, 189)(366, 269)","(159, 196)(225, 262)","(185, 344)(338, 420)",
00461.png,"(271, 184)(357, 270)","(151, 189)(229, 267)","(161, 335)(347, 428)",
00462.png,"(288, 197)(355, 264)","(157, 185)(239, 267)","(195, 352)(326, 417)",
00463.png,"(278, 182)(372, 276)","(137, 175)(239, 277)","(177, 333)(337, 413)",
00464.png,"(293, 191)(356, 254)","(150, 194)(230, 274)","(174, 351)(314, 421)",
00465.png,"(298, 211)(337, 250)","(136, 167)(246, 277)","(189, 340)(341, 416)",
00466.png,"(301, 198)(371, 268)","(146, 176)(244, 274)","(213, 362)(325, 418)",
00467.png,"(275, 175)(375, 275)","(147, 182)(238, 273)","(198, 357)(310, 413)",
00468.png,
00469.png,"(289, 195)(363, 269)","(154, 195)(229, 270)","(201, 350)(328, 413)",
00470.png,"(287, 190)(362, 265)","(147, 187)(230, 270)","(189, 347)(316, 410)",
00471.png,
00472.png,"(284, 195)(360, 271)","(151, 187)(236, 272)","(207, 339)(345, 408)",
00473.png,"(199, 217)(255, 273)","(200, 338)(328, 402)",
00474.png,"(273, 178)(366, 271)","(165, 194)(234, 263)","(274, 356)(399, 418)",
00475.png,"(291, 197)(357, 263)","(163, 200)(229, 266)","(174, 328)(336, 409)",
00476.png,"(291, 191)(366, 266)","(150, 198)(218, 266)","(189, 349)(323, 416)",
00477.png,"(280, 191)(364, 275)","(168, 203)(224, 259)","(215, 337)(313, 386)",
00478.png,"(280, 184)(362, 266)","(165, 201)(225, 261)","(176, 356)(295, 416)",
00479.png,"(289, 198)(357, 266)","(156, 177)(239, 260)","(150, 289)(263, 345)",
00480.png,
00481.png,"(279, 173)(371, 265)","(156, 187)(232, 263)","(202, 367)(304, 418)",
00482.png,"(289, 191)(360, 262)","(146, 189)(230, 273)","(172, 338)(333, 418)",
00483.png,"(293, 199)(355, 261)","(155, 194)(230, 269)","(118, 297)(236, 356)",
00484.png,"(206, 374)(297, 420)",
00485.png,"(276, 199)(339, 262)","(174, 202)(226, 254)","(206, 365)(308, 416)",
00486.png,"(293, 192)(367, 266)","(150, 189)(234, 273)","(168, 333)(336, 417)",
00487.png,"(213, 374)(382, 459)",
00488.png,
00489.png,"(287, 186)(369, 268)","(159, 196)(224, 261)","(178, 353)(327, 427)",
00490.png,"(282, 186)(363, 267)","(150, 187)(226, 263)","(189, 346)(304, 404)",
00491.png,"(279, 181)(366, 268)","(168, 339)(324, 417)",
00492.png,"(273, 171)(373, 271)","(156, 185)(239, 268)","(157, 334)(337, 424)",
00493.png,"(80, 374)(125, 396)",
00494.png,"(265, 182)(344, 261)","(168, 195)(231, 258)","(195, 363)(285, 408)",
00495.png,"(289, 212)(331, 254)","(160, 194)(232, 266)","(186, 352)(329, 424)",
00496.png,"(291, 195)(367, 271)","(158, 196)(228, 266)","(176, 328)(338, 409)",
00497.png,"(285, 192)(356, 263)","(155, 195)(227, 267)","(201, 354)(270, 389)",
00498.png,"(277, 197)(353, 273)","(152, 200)(235, 283)","(188, 353)(321, 419)",
00499.png,"(289, 197)(357, 265)","(154, 187)(234, 267)","(190, 355)(321, 421)",
00500.png,"(205, 359)(323, 418)",
00501.png,"(301, 195)(356, 250)","(171, 348)(343, 434)",
00502.png,"(282, 184)(365, 267)","(155, 192)(226, 263)","(196, 352)(315, 411)",
00503.png,"(288, 196)(356, 264)","(157, 191)(234, 268)","(199, 342)(316, 400)",
00504.png,"(283, 192)(361, 270)","(150, 190)(231, 271)","(181, 345)(334, 421)",
00505.png,"(275, 170)(380, 275)","(201, 366)(303, 417)",
00506.png,"(285, 201)(344, 260)","(160, 187)(235, 262)","(208, 359)(322, 416)",
00507.png,"(281, 186)(366, 271)","(147, 188)(232, 273)","(186, 335)(320, 402)",
00508.png,"(286, 191)(361, 266)","(155, 190)(232, 267)","(179, 345)(336, 423)",
00509.png,"(283, 189)(363, 269)","(160, 197)(231, 268)","(177, 327)(328, 402)",
00510.png,"(299, 198)(364, 263)","(156, 199)(218, 261)","(212, 357)(300, 401)",
00511.png,"(283, 190)(363, 270)","(153, 193)(225, 265)","(183, 346)(328, 418)",
00512.png,"(91, 216)(149, 274)","(172, 345)(326, 422)",
00513.png,"(164, 215)(224, 275)","(197, 351)(322, 413)",
00514.png,"(281, 181)(377, 277)","(147, 194)(221, 268)","(172, 342)(327, 419)",
00515.png,"(277, 183)(371, 277)","(152, 187)(235, 270)","(173, 333)(339, 416)",
00516.png,"(285, 195)(359, 269)","(159, 194)(233, 268)","(172, 331)(340, 415)",
00517.png,"(283, 187)(364, 268)","(147, 181)(233, 267)","(197, 382)(317, 442)",
00518.png,"(280, 194)(358, 272)","(158, 197)(229, 268)","(186, 335)(320, 402)",
00519.png,"(293, 206)(344, 257)","(170, 192)(246, 268)","(170, 382)(287, 441)",
00520.png,"(286, 200)(349, 263)","(150, 193)(235, 278)","(197, 365)(373, 453)",
00521.png,"(293, 194)(359, 260)","(155, 191)(229, 265)","(187, 355)(326, 424)",
00522.png,"(278, 218)(334, 274)","(167, 206)(286, 325)","(183, 355)(326, 427)",
00523.png,"(154, 231)(176, 253)","(184, 346)(326, 417)",
00524.png,"(299, 208)(347, 256)","(141, 175)(240, 274)","(161, 341)(338, 429)",
00525.png,"(287, 189)(361, 263)","(147, 182)(235, 270)","(199, 358)(317, 417)",
00526.png,"(282, 180)(376, 274)","(164, 200)(221, 257)","(196, 353)(304, 407)",
00527.png,"(295, 203)(362, 270)","(183, 340)(327, 412)",
00528.png,"(157, 206)(217, 266)","(187, 353)(336, 427)",
00529.png,"(288, 193)(363, 268)","(194, 352)(338, 424)",
00530.png,"(281, 188)(363, 270)","(152, 188)(235, 271)","(164, 322)(340, 410)",
00531.png,"(292, 200)(357, 265)","(158, 198)(226, 266)","(180, 335)(324, 407)",
00532.png,"(291, 199)(359, 267)","(159, 197)(231, 269)","(189, 347)(326, 416)",
00533.png,
00534.png,"(271, 186)(358, 273)","(169, 193)(227, 251)","(202, 363)(309, 416)",
00535.png,"(176, 345)(340, 427)",
00536.png,"(288, 200)(355, 267)","(160, 199)(226, 265)","(197, 339)(328, 404)",
00537.png,"(285, 188)(365, 268)","(148, 179)(242, 273)","(186, 350)(330, 422)",
00538.png,"(279, 183)(364, 268)","(158, 190)(234, 266)","(179, 352)(331, 428)",
00539.png,"(277, 205)(349, 277)","(153, 202)(238, 287)","(194, 357)(308, 414)",
00540.png,"(280, 185)(363, 268)","(162, 197)(229, 264)","(194, 368)(273, 408)",
00541.png,"(286, 184)(376, 274)","(155, 191)(228, 264)","(163, 326)(353, 421)",
00542.png,"(287, 200)(350, 263)","(156, 191)(227, 262)","(204, 352)(312, 406)",
00543.png,"(284, 186)(367, 269)","(156, 194)(234, 272)","(169, 315)(327, 394)",
00544.png,"(280, 179)(370, 269)","(146, 175)(241, 270)","(174, 356)(330, 434)",
00545.png,
00546.png,
00547.png,"(281, 179)(383, 281)","(146, 191)(225, 270)","(185, 330)(333, 404)",
00548.png,"(294, 192)(354, 252)","(161, 184)(247, 270)","(162, 360)(314, 436)",
00549.png,"(291, 197)(361, 267)","(153, 192)(228, 267)","(173, 349)(362, 443)",
00550.png,"(295, 197)(364, 266)","(157, 201)(223, 267)","(194, 344)(324, 409)",
00551.png,"(289, 205)(340, 256)","(174, 191)(251, 268)","(193, 358)(323, 423)",
00552.png,"(284, 186)(367, 269)","(158, 193)(229, 264)","(172, 341)(340, 425)",
00553.png,"(284, 190)(360, 266)","(144, 186)(230, 272)","(178, 345)(343, 427)",
00554.png,"(289, 194)(360, 265)","(164, 201)(227, 264)","(175, 346)(304, 410)",
00555.png,"(284, 189)(363, 268)","(154, 191)(230, 267)","(173, 333)(338, 416)",
00556.png,"(283, 187)(363, 267)","(167, 204)(231, 268)","(176, 324)(334, 403)",
00557.png,"(279, 187)(361, 269)","(149, 181)(238, 270)","(254, 378)(394, 448)",
00558.png,"(277, 189)(357, 269)","(153, 190)(237, 274)","(195, 340)(328, 407)",
00559.png,"(288, 188)(370, 270)","(153, 195)(223, 265)","(172, 346)(333, 426)",
00560.png,"(285, 187)(368, 270)","(153, 189)(236, 272)","(183, 323)(325, 394)",
00561.png,"(288, 194)(363, 269)","(153, 189)(235, 271)","(188, 346)(332, 418)",
00562.png,"(154, 316)(320, 399)",
00563.png,"(289, 200)(356, 267)","(149, 188)(227, 266)","(173, 332)(336, 413)",
00564.png,"(281, 187)(364, 270)","(160, 196)(225, 261)","(202, 361)(293, 406)",
00565.png,"(190, 356)(307, 414)",
00566.png,"(278, 187)(365, 274)","(154, 191)(223, 260)","(176, 354)(309, 421)",
00567.png,"(291, 205)(346, 260)","(148, 190)(230, 272)","(170, 329)(326, 407)",
00568.png,"(279, 191)(356, 268)","(158, 182)(243, 267)","(221, 359)(316, 407)",
00569.png,"(290, 187)(369, 266)","(144, 183)(237, 276)","(170, 342)(337, 425)",
00570.png,"(276, 176)(370, 270)","(188, 353)(317, 417)",
00571.png,"(183, 354)(328, 427)",
00572.png,"(282, 189)(365, 272)","(146, 187)(231, 272)","(173, 337)(345, 423)",
00573.png,"(198, 360)(306, 414)",
00574.png,"(278, 188)(362, 272)","(155, 191)(238, 274)","(185, 351)(321, 419)",
00575.png,"(287, 197)(360, 270)","(157, 189)(232, 264)","(174, 327)(351, 416)",
00576.png,"(284, 177)(371, 264)","(154, 191)(225, 262)","(185, 356)(319, 423)",
00577.png,"(281, 184)(366, 269)","(147, 183)(233, 269)","(166, 342)(323, 420)",
00578.png,"(290, 193)(363, 266)","(161, 196)(229, 264)","(181, 342)(326, 415)",
00579.png,
00580.png,"(295, 194)(369, 268)","(162, 198)(232, 268)","(178, 345)(338, 425)",
00581.png,"(287, 187)(365, 265)","(159, 194)(223, 258)","(201, 361)(313, 417)",
00582.png,"(290, 194)(360, 264)","(164, 199)(229, 264)","(192, 362)(326, 429)",
00583.png,"(287, 192)(364, 269)","(156, 199)(226, 269)","(180, 331)(326, 404)",
00584.png,"(283, 191)(358, 266)","(178, 359)(327, 433)",
00585.png,"(279, 185)(361, 267)","(149, 189)(229, 269)","(108, 330)(189, 370)",
00586.png,"(288, 196)(358, 266)","(155, 195)(231, 271)","(177, 336)(333, 414)",
00587.png,"(284, 192)(359, 267)","(159, 193)(236, 270)","(185, 344)(332, 418)",
00588.png,"(283, 189)(363, 269)","(150, 188)(228, 266)","(171, 338)(339, 422)",
00589.png,"(273, 190)(346, 263)","(155, 196)(209, 250)","(205, 356)(308, 407)",
00590.png,"(283, 183)(373, 273)","(153, 195)(225, 267)","(179, 325)(330, 401)",
00591.png,"(190, 333)(326, 401)",
00592.png,
00593.png,"(285, 187)(366, 268)","(149, 184)(232, 267)","(190, 345)(321, 411)",
00594.png,"(268, 165)(380, 277)","(148, 202)(215, 269)","(158, 344)(329, 430)",
00595.png,"(275, 173)(377, 275)","(168, 201)(224, 257)","(183, 304)(310, 367)",
00596.png,"(270, 176)(370, 276)","(195, 365)(328, 432)",
00597.png,"(281, 180)(372, 271)","(151, 183)(237, 269)","(206, 378)(305, 428)",
00598.png,"(284, 186)(366, 268)","(159, 197)(232, 270)","(182, 318)(327, 391)",
00599.png,"(285, 189)(360, 264)","(158, 192)(233, 267)","(189, 356)(314, 419)",
00600.png,"(198, 338)(319, 398)",
00601.png,"(285, 187)(366, 268)","(157, 199)(226, 268)","(184, 339)(305, 399)",
00602.png,"(300, 200)(356, 256)","(157, 189)(238, 270)","(177, 336)(327, 411)",
00603.png,"(292, 195)(360, 263)","(160, 201)(223, 264)","(174, 339)(323, 414)",
00604.png,"(282, 186)(365, 269)","(146, 181)(238, 273)","(186, 351)(330, 423)",
00605.png,"(294, 199)(358, 263)","(151, 190)(233, 272)","(176, 343)(319, 415)",
00606.png,"(293, 206)(350, 263)","(172, 207)(230, 265)","(186, 337)(323, 406)",
00607.png,"(280, 189)(365, 274)","(156, 190)(234, 268)","(158, 345)(336, 434)",
00608.png,"(196, 218)(246, 268)","(121, 340)(220, 390)",
00609.png,"(138, 193)(229, 284)","(200, 331)(335, 398)",
00610.png,"(285, 187)(370, 272)","(156, 195)(223, 262)","(198, 341)(321, 402)",
00611.png,"(287, 185)(370, 268)","(154, 193)(225, 264)","(192, 347)(328, 415)",
00612.png,"(283, 189)(362, 268)","(152, 188)(233, 269)","(193, 348)(329, 416)",
00613.png,"(258, 191)(333, 266)","(164, 210)(239, 285)","(169, 358)(309, 428)",
00614.png,"(282, 185)(368, 271)","(146, 171)(248, 273)","(184, 353)(341, 431)",
00615.png,"(289, 186)(360, 257)","(156, 184)(249, 277)","(204, 363)(318, 420)",
00616.png,"(282, 183)(372, 273)","(152, 190)(232, 270)","(168, 331)(334, 414)",
00617.png,"(294, 201)(361, 268)","(157, 204)(220, 267)","(176, 324)(338, 405)",
00618.png,"(293, 203)(341, 251)","(151, 188)(226, 263)","(114, 340)(206, 386)",
00619.png,"(270, 175)(365, 270)","(170, 201)(233, 264)","(193, 352)(311, 411)",
00620.png,"(282, 186)(369, 273)","(167, 201)(219, 253)","(188, 358)(330, 429)",
00621.png,"(298, 197)(366, 265)","(155, 200)(218, 263)","(178, 345)(320, 416)",
00622.png,"(270, 160)(397, 287)","(192, 356)(304, 412)",
00623.png,"(294, 196)(365, 267)","(154, 197)(225, 268)","(185, 342)(329, 414)",
00624.png,"(282, 183)(371, 272)","(153, 193)(225, 265)","(176, 338)(333, 417)",
00625.png,"(289, 195)(360, 266)","(158, 196)(226, 264)","(195, 350)(321, 413)",
00626.png,"(288, 196)(361, 269)","(157, 194)(232, 269)","(178, 337)(339, 417)",
00627.png,"(281, 183)(371, 273)","(156, 195)(226, 265)","(175, 347)(334, 427)",
00628.png,"(281, 184)(367, 270)","(151, 183)(239, 271)","(140, 301)(237, 350)",
00629.png,"(279, 212)(345, 278)","(155, 207)(225, 277)","(157, 330)(341, 422)",
00630.png,"(291, 195)(360, 264)","(157, 196)(231, 270)","(182, 330)(343, 410)",
00631.png,"(284, 189)(364, 269)","(145, 182)(236, 273)","(180, 335)(341, 415)",
00632.png,"(286, 192)(363, 269)","(156, 193)(228, 265)","(182, 343)(330, 417)",
00633.png,"(273, 187)(354, 268)","(171, 199)(229, 257)","(191, 370)(321, 435)",
00634.png,"(278, 182)(366, 270)","(166, 208)(217, 259)","(189, 340)(345, 418)",
00635.png,"(280, 188)(365, 273)","(147, 184)(238, 275)","(169, 325)(329, 405)",
00636.png,"(274, 172)(366, 264)","(163, 201)(230, 268)","(185, 367)(308, 428)",
00637.png,"(294, 202)(351, 259)","(159, 191)(234, 266)","(213, 359)(332, 419)",
00638.png,"(286, 190)(360, 264)","(154, 194)(230, 270)","(156, 326)(420, 458)",
00639.png,"(275, 192)(358, 275)","(144, 183)(235, 274)","(190, 347)(321, 413)",
00640.png,"(293, 200)(357, 264)","(155, 200)(221, 266)","(174, 344)(335, 425)",
00641.png,"(284, 184)(367, 267)","(150, 188)(225, 263)","(200, 361)(315, 418)",
00642.png,"(282, 187)(364, 269)","(173, 204)(226, 257)","(197, 360)(323, 423)",
00643.png,"(283, 194)(354, 265)","(173, 203)(232, 262)","(194, 364)(316, 425)",
00644.png,"(292, 198)(357, 263)","(163, 193)(236, 266)","(194, 354)(326, 420)",
00645.png,
00646.png,"(284, 207)(358, 281)","(150, 220)(210, 280)","(189, 328)(315, 391)",
00647.png,
00648.png,"(192, 366)(318, 429)",
00649.png,"(294, 199)(358, 263)","(154, 195)(226, 267)","(181, 346)(337, 424)",
00650.png,"(291, 199)(361, 269)","(152, 196)(224, 268)","(182, 340)(334, 416)",
00651.png,
00652.png,"(296, 203)(354, 261)","(156, 189)(234, 267)","(180, 344)(345, 427)",
00653.png,"(290, 197)(358, 265)","(161, 203)(218, 260)","(193, 339)(324, 405)",
00654.png,"(283, 183)(369, 269)","(146, 187)(227, 268)","(182, 353)(332, 428)",
00655.png,"(272, 189)(356, 273)","(164, 196)(223, 255)","(264, 287)(362, 336)",
00656.png,"(283, 185)(371, 273)","(142, 180)(239, 277)","(181, 336)(335, 413)",
00657.png,"(288, 183)(364, 259)","(155, 185)(238, 268)","(178, 344)(332, 421)",
00658.png,"(287, 188)(366, 267)","(147, 189)(228, 270)","(174, 346)(342, 430)",
00659.png,"(282, 194)(359, 271)","(161, 198)(229, 266)","(184, 319)(337, 395)",
00660.png,"(278, 212)(328, 262)","(182, 208)(236, 262)",
00661.png,"(291, 198)(363, 270)","(158, 204)(211, 257)","(184, 349)(330, 422)",
00662.png,"(283, 186)(367, 270)","(160, 196)(230, 266)","(176, 333)(327, 408)",
00663.png,"(274, 172)(367, 265)","(157, 196)(227, 266)","(167, 341)(322, 418)",
00664.png,"(306, 203)(366, 263)","(156, 200)(234, 278)","(179, 352)(323, 424)",
00665.png,"(291, 199)(360, 268)","(155, 196)(229, 270)","(194, 351)(326, 417)",
00666.png,"(290, 205)(353, 268)","(161, 197)(233, 269)","(197, 343)(321, 405)",
00667.png,"(286, 187)(362, 263)","(150, 185)(232, 267)","(182, 343)(339, 421)",
00668.png,"(281, 183)(368, 270)","(154, 199)(216, 261)","(170, 339)(329, 418)",
00669.png,"(285, 196)(363, 274)","(154, 197)(222, 265)","(181, 324)(331, 399)",
00670.png,
00671.png,"(278, 187)(365, 274)","(141, 180)(234, 273)","(123, 413)(215, 459)",
00672.png,"(293, 194)(365, 266)","(152, 189)(234, 271)","(183, 331)(328, 404)",
00673.png,"(285, 190)(360, 265)","(151, 183)(237, 269)","(188, 350)(323, 417)",
00674.png,"(279, 199)(361, 281)","(163, 192)(218, 247)","(174, 346)(363, 441)",
00675.png,"(283, 183)(367, 267)","(161, 200)(225, 264)","(172, 348)(323, 423)",
00676.png,"(285, 195)(358, 268)","(157, 202)(221, 266)","(186, 318)(323, 386)",
00677.png,"(295, 200)(359, 264)","(166, 198)(229, 261)","(179, 348)(328, 422)",
00678.png,"(285, 189)(368, 272)","(154, 185)(238, 269)","(188, 333)(326, 402)",
